trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
100,False,"{'a': 0.5, 'e': 0.9210609940028851}",20,0,-38.43344672146564,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
101,False,"{'a': 0.5, 'e': 0.9194959563093155}",25,0,-173.26161221196497,"{0: 16, 1: 1, 2: 3, 3: 2, 4: 3}",0
102,False,"{'a': 0.5, 'e': 0.9179162067000607}",20,0,-100.21237988840073,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.916321770451081}",20,0,-80.56242865165038,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
104,False,"{'a': 0.5, 'e': 0.9147126730733223}",35,0,-194.74067061223067,"{0: 19, 1: 4, 2: 9, 3: 1, 4: 2}",0
105,False,"{'a': 0.5, 'e': 0.9130889403123083}",20,0,-50.39063336727639,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
106,False,"{'a': 0.5, 'e': 0.9114505981477284}",25,0,-83.60056459561463,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
107,False,"{'a': 0.5, 'e': 0.9097976727930226}",20,0,-153.52644404889512,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
108,False,"{'a': 0.5, 'e': 0.9081301906949609}",35,0,-112.65263403310153,"{0: 22, 1: 4, 2: 7, 3: 2, 4: 0}",0
109,False,"{'a': 0.5, 'e': 0.9064481785332217}",20,0,-185.34552705107058,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 4}",0
110,False,"{'a': 0.5, 'e': 0.9047516632199634}",20,0,-64.40055697031447,"{0: 14, 1: 2, 2: 1, 3: 3, 4: 0}",0
111,False,"{'a': 0.5, 'e': 0.903040671899395}",25,0,-96.0046346844813,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
112,False,"{'a': 0.5, 'e': 0.9013152319473411}",20,0,-116.54853672582193,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
113,False,"{'a': 0.5, 'e': 0.899575370970804}",20,0,-59.432618520444315,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
114,False,"{'a': 0.5, 'e': 0.8978211168075223}",20,0,-47.713542236219965,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
115,False,"{'a': 0.5, 'e': 0.8960524975255252}",20,0,-124.43330670321976,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
116,False,"{'a': 0.5, 'e': 0.8942695414226836}",20,9,-71.05127840922887,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 1}",1
117,False,"{'a': 0.5, 'e': 0.8924722770262568}",35,0,-91.59859486926179,"{0: 23, 1: 4, 2: 6, 3: 2, 4: 0}",0
118,False,"{'a': 0.5, 'e': 0.890660733092437}",25,0,-75.02106140296236,"{0: 17, 1: 0, 2: 6, 3: 2, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.8888349386058886}",20,9,-65.8552522526689,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 1}",1
120,False,"{'a': 0.5, 'e': 0.8869949227792842}",20,0,-107.23684221823859,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
121,False,"{'a': 0.5, 'e': 0.8851407150528379}",20,0,-90.09542844515113,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
122,False,"{'a': 0.5, 'e': 0.8832723450938338}",20,0,-153.30636427248575,"{0: 7, 1: 4, 2: 6, 3: 2, 4: 1}",0
